"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LEMD3",54.453345821169,-2.96139137308403,0.648979695947811,-3.02226924098062,0.00250887288243307,0.0981261026436263
"LGALS3BP",1253.92636164735,2.66096247634457,0.342051299300848,4.85588705477681,1.1984900323534e-06,0.000179846079643195
"LHPP",38.4669363506177,3.31606645954332,0.648981452394145,3.56877142019878,0.000358659166986781,0.0216975894618118
"LINC00504",64.9470817274711,-4.36511400955528,0.990175462591459,-3.39850272672704,0.000677557875819188,0.0347413669375826
"LINC00840",42.1471686446561,-3.88072383855376,0.653296578081811,-4.4095192523617,1.03600348451215e-05,0.00114628332911351
"LINC01088",1636.98312878033,-2.83143549839164,0.381853410913752,-4.79617425443215,1.61724608384921e-06,0.000230498683374373
"LPAR4",482.297677649809,-3.17744895088422,0.470027828110988,-4.63259581807156,3.61109111392773e-06,0.000460085836015429
"LPIN1",63.4008426204858,3.60188642240554,0.794423289392606,3.27518900458579,0.00105591303131821,0.049604316650027
"LY86-AS1",1138.60328264497,-2.62996372206713,0.272583388209649,-5.97968839103834,2.2356487070313e-09,6.96280369534304e-07
"MAGOHB",5828.44081358637,-3.89077220612771,0.391754606084675,-7.37903820715484,1.5943707705484e-13,1.11725531746179e-10
"MANEA",52.2226721666854,-4.68734890716989,0.923688168179351,-3.99198456167074,6.55226394039489e-05,0.00524742737855054
"MAOB",1451.9392303546,2.60565322982601,0.31803817992743,5.04861784265144,4.4501793220596e-07,7.63705263657126e-05
"MEIS1",12766.2421828653,-2.18979174931608,0.211374007980215,-5.62884604727486,1.81419230911385e-08,4.9211429443027e-06
"MESTIT1",98.8293204106176,-3.84344649904142,0.694239790586734,-4.09576998840457,4.20767536047153e-05,0.00361044307206174
"MT1X",656.724050818261,3.41459683157314,0.488224522747056,4.94566888608361,7.58828483908391e-07,0.000125117425905601
"MYBL2",116.129390932607,2.7483197658841,0.51242504636559,3.41185462788007,0.000645225130703525,0.0333228373916489
"MYEOV",2648.81734712441,-2.02447027206296,0.298282049669349,-3.43456896986795,0.000593497020620796,0.0319917720923094
"MYL9",32388.7696851985,2.2917552578237,0.238439919876565,5.41752932349754,6.04282412990764e-08,1.49453259142333e-05
"MYO1G",62.7490584352513,-3.86073061110263,0.940315406521926,-3.04230962426109,0.00234770269819991,0.0944585262639382
"MYO3B",498.694694900919,-2.47048432178308,0.475504818245712,-3.09246986646352,0.00198498385342514,0.0814230693826926
"NDRG3",2417.85103828598,2.24976987324814,0.234804393789785,5.32260002922702,1.02294500178981e-07,2.26366961053961e-05
"NECAB3",206.750395214374,3.07907132417883,0.402788652510914,5.16169289084553,2.44726544033399e-07,4.47370762777577e-05
"NEURL3",271.405011205986,-2.08195721115104,0.322481614172324,-3.35509735625695,0.00079337057903899,0.0390143461937945
"NID1",927.24853275294,2.08528404516612,0.331957951599111,3.26934191495664,0.00107797954350523,0.0503596110074193
"NIFKP3",144.399772260951,-2.5373525292529,0.461516538688844,-3.3310887051209,0.000865070312995492,0.0420484176993011
"NOMO1",2301.22908459514,-2.70363921952109,0.39355705784272,-4.32882395467527,1.49907701070841e-05,0.0015943390868646
"NUDT14",45.2941445143726,5.66592636836888,0.881695096645016,5.29199536906062,1.20988956866292e-07,2.54349034572162e-05
"OR2L1P",26.1666224623283,-3.96921422957366,0.803272888649325,-3.69639542368508,0.000218682278031415,0.0150418226886404
"OR6R1P",76.4393714914541,-3.9735280508663,0.785160014549873,-3.78716184696569,0.000152377851932714,0.0107676080411949
"OR7E36P",54.0657958113104,-3.12287512504284,0.509856149868584,-4.16367464742754,3.13166277598304e-05,0.00280150556204695
"P2RY10",411.765117427711,-3.51341124021614,0.322584722960321,-7.79147635123841,6.62307108562475e-15,6.06463322910945e-12
"P2RY12",4188.17239897362,-1.61406834349344,0.192111861931865,-3.19641034821279,0.00139149061449411,0.0612620134936178
"PCGF6",60.4954200381478,-4.03870467677276,0.736380089629557,-4.12654377755027,3.68255928252326e-05,0.00319243721718949
"PCYT2",160.933702284596,2.74068390744832,0.514710748046244,3.38186819306895,0.00071994679778639,0.0360359084677724
"PDCD1LG2",57.0415869945801,-4.03950674126413,0.843884647040616,-3.60180357815876,0.00031601710573761,0.01983125255334
"PGM5",45.5134280329094,-3.33055023370548,0.579284402958519,-4.02315377697536,5.74239757242745e-05,0.00468813797927596
"PGPEP1",183.107275548873,2.32259945987601,0.420552452080536,3.14490963810321,0.00166138137166928,0.0705583634058939
"PHPT1",85.4115729877979,2.60694336244635,0.529168069771755,3.03673531008677,0.00239155360817022,0.0954784627587494
"PIK3IP1",321.499535688422,4.85675847143305,0.56718027817587,6.79988113098171,1.04705507545266e-11,4.89149229415633e-09
"PLCL1",917.72784145345,-4.23880319289293,0.469077728053894,-6.904619424866,5.03381944439321e-12,2.4899639828178e-09
"PPIC",70.939561752821,4.47781594259384,0.802350420817726,4.33453495176008,1.46068580409878e-05,0.00157473165726495
"PPP1R18",1439.35773643618,1.88858635132257,0.284373078853622,3.12472036700762,0.00177974158303967,0.0752052611647267
"PPP3CC",143.541297787599,2.5123783297808,0.404586440295783,3.73808457019749,0.000185427577983304,0.01299383752718
"PPP6R2",355.661876155019,2.38088829595643,0.390906206409971,3.53253100951842,0.00041160195054024,0.0242039216929572
"PRIM2",17.9383945242252,-3.8267914382748,0.892082644207398,-3.1687551110092,0.0015309332794695,0.0656817242196891
"PRIMPOL",1562.60150135225,-2.86873882841122,0.284701941338079,-6.56384294265182,5.24384339342691e-11,2.09978471882509e-08
"PRPF39",58.5335006994352,-4.67460829890168,0.900268997676628,-4.08167815218,4.47116855360366e-05,0.00379778347143972
"PSPHP1",61.0071100119125,4.3436873956924,1.0448112858969,3.20027878797469,0.00137294715838343,0.0607637508149803
"PTENP1",383.058368976519,-2.43144408962084,0.431618634285308,-3.31645572251783,0.000911670323386947,0.0438070614249191
"PXMP4",246.97049365327,2.31230095624083,0.293953170655978,4.46431978710191,8.03235218086069e-06,0.000925260951902159
"RAC2",1557.64479293494,1.91749255452458,0.173723083052779,5.28135086254388,1.28234844255447e-07,2.60088014150173e-05
"RANBP2",28.2359424467702,4.70056858415225,1.2006147110745,3.0822282535922,0.00205457227648882,0.0838684382184198
"RAPGEF5",334.649157667136,-2.60019465742049,0.371838715973507,-4.30346434806026,1.68147916626893e-05,0.00172433637916529
"RASSF5",80.3676478498154,-3.28436188172846,0.632674032498194,-3.61064586878707,0.000305435463656033,0.0194576273779059
"RBMXL1",1164.8352696348,-3.59285005066731,0.319042570587844,-8.12697203978114,4.40146854289596e-16,5.28742128245888e-13
"RHAG",152.963295420332,5.18985129553895,1.03981666377774,4.02941349325647,5.59161877380708e-05,0.00460979630087684
"RHOC",6217.84430715784,1.83657967326966,0.228446998002665,3.66202961992919,0.000250224919411079,0.016311173235099
"RNASE2",99.6818942410313,3.41447233800843,0.745495877171537,3.23874673481644,0.00120056128928878,0.0545703777385369
"RNASEH2C",434.717467322634,2.49828116885368,0.285909873054124,5.24039674757944,1.60231722882968e-07,3.13346176214623e-05
"RNF213",327.142205516843,2.61404177114237,0.448993603733172,3.59479902992463,0.000324642079317342,0.0199263886494856
"RNFT1",321.409122386087,-2.24922628280814,0.364997107960336,-3.42256487945622,0.000620332916246404,0.0328074181931824
"RNU2-14P",261.749318633394,-2.88727914929189,0.395172018699242,-4.77584206367674,1.78956808528959e-06,0.00024693840233307
"ROGDI",420.162895912593,2.21340873718974,0.312524412726276,3.88260464712082,0.000103343518037101,0.00755665776673027
"RPA1",28835.5160049983,-2.35057811023795,0.221532683115686,-6.09651854183821,1.08403381029164e-09,3.79818346280934e-07
