"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFAP1",417.660654356204,-1.04170549004458,0.249234806965806,-4.17961480872732,2.92003273026297e-05,0.000328269454930231
"AFAP1-AS1",463.975307686194,-1.68037641341896,0.209906375288499,-8.0053614908524,1.1911623650328e-15,2.13116687820443e-13
"AFTPH",1423.93755689001,-0.43612773169621,0.152759943918708,-2.85498750855983,0.00430385216614338,0.0193589214989446
"AGBL3",96.1813992814294,-1.91208575649985,0.523594574319574,-3.65184409900477,0.00026036393598476,0.00202910133243359
"AGGF1P2",32.4162636139098,-3.16802897796389,0.95901096534854,-3.30343352936795,0.000955086088349204,0.00582824304566651
"AGL",118.11257141685,3.00459608966001,0.848234914167389,3.54217450788295,0.000396842845095748,0.00284488617596773
"AGO2",494.192058587163,1.06157945560409,0.293986849432061,3.61097599316059,0.000305046900521798,0.00231576517523392
"AGPAT2",39.3035719239286,1.67815153182679,0.578833078139747,2.89919770518305,0.00374118909155367,0.0171910705305327
"AGPAT3",524.595818808152,1.14987295591708,0.331578619566031,3.46787424780896,0.000524592711586855,0.00356324726311297
"AHCTF1",1246.53674640176,-1.04705059806299,0.268360121167368,-3.90166241358183,9.55343297419442e-05,0.000890629909977837
"AHCYL1",468.379617429275,0.643590566750784,0.257795784854743,2.49651314940397,0.012542101862019,0.0449420062417381
"AHR",89.0413606143553,1.31987643607948,0.47720651983797,2.7658390680153,0.00567765464448348,0.0239555433544714
"AHSP",282.931545944795,6.42887707218181,0.567365810317526,11.3310970722467,9.20445583442284e-30,1.54800538223323e-26
"AIP",120.516088140893,1.32257362863329,0.40897500290536,3.23387400021449,0.00122123320811295,0.00703862237630009
"AK3",4103.27885535706,-1.20291301775506,0.2870748636049,-4.1902415371714,2.78657667032437e-05,0.000315374471342633
"AK5",84.0729771307261,-1.307126034864,0.513210912055101,-2.54695682449491,0.010866687698825,0.0400253950325973
"AK9",137.204010185637,-0.988103353032485,0.387701121238453,-2.54862134490645,0.0108149655039307,0.0399223199835615
"AKAP10",109.411382533121,1.0601948323618,0.319244530483776,3.32094908800852,0.000897119006507907,0.00554696597479779
"AKAP7",386.830033187191,-0.98295788555472,0.367542945293698,-2.67440280963426,0.00748624720601736,0.0296662831081055
